Question,Equation,Type
My dog has some bones.Then he dug number0 bones.Now he has number1 bones.How many bones?,- number1 number0,General
"Becky's fish tank has number0 gallon of water.If Bekki increases number1 gallons, how many gallons are there?",+ number0 number1,General
"When playing trivial games, Adam answered number0 questions in the first half and answered number1 questions correctly in the second half.If each problem is worth number2 points, what is his final result?",* number0 + number0 number0,General
"Hayley and her friends are recovering paper for their class.They get 1 point every number0 pounds.If Hayley recovered number1 pounds, and her friends recovered number2 pounds, how much do they make?",/ + number1 number2 number0,General
Mike has number0 peaches on his roadside fruit plate.He went to the orchard and picked up the peach to store it.There are number1 peaches now.How much did he choose?,- number1 number0,General
"Paige broke off some of her old winter clothes.She found number0 boxes of clothes, with number1 scarves and number2 gloves in each box.How many winter clothing is there in Paige?",* number0 + number1 number1,General
Sally saw number0 two birds in a tree.How many birds saw Sally?,* number0 12.0,General
"A waiter has number0 customers in his part.If number1 of them leave, the rest of his tables have number2 people on each table. How many tables do he have?",/ - number0 number1 number2,General
Todd has some gum.Steve gave him number0 pieces of gum.Todd now has number1 pieces of gum.How many pieces must Todd start?,- number1 number0,General
"Mike made $ number0 trimming lawn throughout the summer.If he spent $ number1 to buy a new cutting machine blade, can he use the remaining money to buy a $ number2 game of $ number2?",/ - number0 number1 number2,General
"Gwen is organizing her book case to ensure that there are number0 books on each shelf.If she has number1 secret books and number2 bookshelves, how many books do she have?",* number0 + number1 number2,General
"Paul saved $ number0.If he gets a subsidy of $ number1, how many $ number2 can he buy?",/ + number0 number1 number2,General
Mary started with number0 eggs.She found number1 again.How many eggs did Mary end?,+ number0 number1,General
"Bai Lan made off -road off -road races and traveled backpack.She used number0 pounds of peanuts, number1 -pound chocolate tablets and number2 -pound raisins.How many pounds of off -road races did Bai Lan make?",+ + number0 number0 number2,General
Bridge is number0 pounds.Martha is number1 pounds.How much heavier than Martha?,- number0 number1,General
"For Halloween, Bianca received number0 pieces of candy.She ate number1 yuan, and then stacked the remaining number2 pieces in each pile.How many piles can she make?",/ - number0 number1 number2,General
There are number0 pencils in the drawer.Sara put number1 pencils in the drawer.How many pencils are there now?,+ number0 number1,General
"During the arcade competition, Luke won number0 tickets and played ""Whak A Mole"" and number1 tickets to play ""Skee Ball"".If he tries to buy number2 votes per fare, how many can he buy?",/ + number0 number1 number2,General
Multiple countries have number0 parts -time employees and number1 full -time employees.How many employees work in the company?,+ number0 number1,General
A box of books weighs number0 pounds.Each book weighs number1 pounds.How many books are there in the box?,/ number0 number1,General
You have number0 balloons and your friends have number1 balloons.Is there more balloon than your friends?,- number0 number1,General
"During lunch, there were number0 customers in the waiters, and number1 of them did not leave a tip.How much did he make if he got $ number2 from a small person?",* number2 - number0 number1,General
"Five students try to participate in the school's trivial team.If the six of them are not selected as a team, the rest are divided into number2 groups, how many students are there in each group?",/ - number0 number1 number2,General
"The oil pipes at the sea rupture.Before the engineer began to repair the pipeline, the number0 gallon of oil was leaked into the water.Before fixed pipes, a total of number1 gallon of oil was leaked.When engineers fixed pipelines, how many gallon of oil leaks?",- number1 number0,General
"If Benjamin is number0 kilometers skating at a speed of number1 kilometers per hour, how long is Benjamin skating?",/ number0 number1,General
"There are number0 puppies in a pet store.Within one day, they sold number1 of them, and then put the rest of the cages in each cage. There were number2 cages.How many cages did they use?",/ - number0 number1 number2,General
"Dave bought number0 boxes of chocolate candy and gave his brother number1 boxes.If there are number2 pieces in each box, how many pieces are there?",* number2 - number0 number1,General
"Mike discovered number0 shells and number1 starfish, but number2 of them were broken.How many uninterrupted shells did Mike find?",- number0 number1,General
Mrs .Hilder bought number0 Bisa cakes for each price of $ number1.What is the total amount she paid for the three pizza?,* number0 number1,General
"The school buffet has number0 red apples and number1 green apples for lunch.However, if only number2 students want fruit, how much is the buffet restaurant in the end?",- + number0 number1 number2,General
"number0 girls and number1 boys work hard for the school basketball team.If only number2 of them are called back, how many students are not promoted?",- + number0 number1 number2,General
The price of each ticket is $ number0.How much is number1 tickets?,* number0 number1,General
"Recently, the value of the Kate retirement fund has fallen by $ number0.If her funds are worth $ number1, how much is now worth?",- number1 number0,General
A sandbox is number0 cm long and number1 cm wide.How many square centimeters are covered with sandboxes?,* number0 number1,General
"There are number0 bird cages in a pet shop.If there are number1 parrots and number2 parrots in each cage, how many birds are there in a pet store?",* number0 + number1 number2,General
Mrs .Hilder bought ice cream cone at a price of number0 cents.How much does number1 ice cream egg tube cost?,* number0 number1,General
Sally has number0 blue balloons.Fred's blue balloon is number1 times that of Sali.How many blue balloons do Fred now?,* number0 number1,General
How long will Joan travel if Joan ride a bicycle at a speed of number1 miles per hour?,/ number0 number1,General
"Each child has number0 bottle caps.If there are number1 children, how many bottle caps are there?",* number0 number1,General
Jesse's room is number0 feet long and number1 feet wide.How many carpets do she need to cover the entire floor?,* number0 number1,General
There are number0 paper cup cakes for number1 children to share.How much will they get if everyone shared the paper cup cake equally?,/ number0 number1,General
Nanyi has number0 black balloons.Mary's black balloon is number1 times that of Nancy.How many black balloons do Mary now?,* number0 number1,General
Junior students asked Christian to help him put number0 seedlings in the packaging.How many packets do I need if each packet needs to contain number1 seeds?,/ number0 number1,General
"Halloween, Haley won number0 pieces of candy.She ate number1 pieces in the first night, and then her sister gave her number2 more.How many candy does Hailey now have it?",- + number0 number2 number1,General
"There were number0 houses in Lincoln County.During the prosperity of the housing, developers were built number1.How many houses are there in Lincoln County now?",+ number0 number1,General
"The Eagle Team scored number0 tactile land, with a value of number1 points at a time.What time do they have?",* number0 number1,General
"Sara selected number0 pears, and Tim selected number1 pears from the pear trees.How many pears have I picked in total?",+ number0 number1,General
"The grocery store sells soft drinks at a price of $ number0 and sells at a price of number1 packs.If you buy it alone, how much will the cost of each soft drink?",/ number0 number1,General
"Page has number0 mathematical issues and number1 scientific issues.If she has completed number2 questions at school, how much problem she needs to do for her homework?",- + number0 number1 number2,General
Mandy made an apple.She used number0 tablespoons of cinnamon and number1 tablespoons.How much is the cinnamon used by Mandy than meatmem?,- number0 number1,General
"Bridge has number0 SKITTLES.Henry has number1 SkitTles.If Henry gives all the candy to Brits, how many SKITTLES will Britsass?",+ number0 number0,General
"The price of a textbook is $ number0 in the bookstore, and the store is sold at a price of $ number1.Find the profit amount according to the sales price.",- number1 number0,General
"When playing Trivia games, Mike answered number0 questions in the first half, and there were number1 questions in the second half.If each problem is worth number2 points, what is his final result?",* number0 + number0 number1,General
"In his wife.Hilder's house has number0 inches of snow, while Blaknak Primary School received number1 inches of snow.How much snow has the wife.Is there in Hilder's house?",- number0 number1,General
"At the company's number0 manager, six employees decided to start volleyball.If they are divided into number2 teams, how many people will each team have?",/ + number0 number1 number2,General
"When number1 other players joined the game, number0 friends played video games online.If each player has number2 lives, how many lives do they have?",* number0 + number0 number1,General
Anna starts with number0 kinds of candy.She got number1 from Larry.How much sugar has Anna finished?,+ number0 number1,General
"There are number0 questions in a worksheet.If a teacher has number1 worksheets to score and seven of them have been divided into number2, how many problems do she have to do?",* number0 - number1 number2,General
"Mrs .Hilder saw number0 bees in the hive.The next day, she saw number1 times.How many bees did she see the next day?",* number0 number1,General
"Fred (Fred) has number0 red balloon, SAM has number1 red balloon, and DAN has number2 red balloon.The balloon spent $ number3.How many red balloons do they have?",+ + number0 number1 number2,General
Evelyn starts with number0 shoes.She shared number1 with Kristin.How many shoes have ever ended?,- number0 number1,General
A carpenter bought a piece of wood number0 cm long.Then he saw the end of number1 cm.How long is it now?,- number0 number1,General
"There are number0 oranges in a store.If they throw away number1 old ones and put number2 new garbage in the trash can, how many trash bins will there be?",- + number0 number2 number1,General
Tim has number0 books.Mike has number1 books.How many books do they have?,+ number0 number1,General
"Melanie has number0 roles in her bank.Her father gave her number1 cents, and her mother gave her number2 cents.How many corners of Melani now?",+ + number0 number1 number2,General
A car drove number0 kilometers within number1 hours.What is its average speed?,/ number0 number1,General
"There are currently number0 wooden trees in the park.Park workers will grow number1 mountains and Wood trees today, and will grow number2 mountains and wood trees tomorrow.After the workers are completed, how many mountains will there be in the park?",+ + number0 number1 number2,General
There are number0 bottle caps in each box.How many bottle caps are number1 boxes?,* number0 number1,General
"Megan is organizing her book case to ensure that there are number0 books on each shelf.If she has number1 secret books and number2 bookshelves, how many books do she have?",* number0 + number1 number2,General
"Karen added number0 cups of walnuts to a batch of trail mixtures.Later, she added number1 cups of almonds.Karen adds a cup of nuts to a trail mixture?",+ number0 number0,General
There are number0 scissors and number1 pencils in the drawer.Dan put number2 scissors in the drawer.How many scissors are there now?,+ number0 number2,General
Sara and Melani fished together.Sara grabbed number0 catfish.The catfish captured by Melanie is number1 times that of Sara.How many catfish did Melani caught?,* number0 number1,General
Camp has number0 marbles.He gave Dylan number1.How much is he left?,- number0 number1,General
"Karin's scientific lesson weigh the plastic ring for experiments.They found that the orange ring was number0 ounces, the purple ring weighed number1 ounces, and the white ring was number2 ounces.What is the total weight of the plastic ring?",+ + number0 number1 number2,General
"A group of friends went to a restaurant.The chef has cooked number1 chicken wings, but cooked number2 for the group.How many people will everyone get if each of them is the same?",/ + number1 number2 number0,General
There are number0 fish in Lucy.She still needs to buy a few fish to raise number1 fish?,- number1 number0,General
There are number0 bananas on the table.Each banana has number1 packs.Add number2 bananas to the pile.How many bananas are there in the pile?,+ number0 number2,General
"Terrell walks number0 miles on Saturday.Then, on Sunday, he was hiking for number1 miles.How far does Terrell walk together?",+ number0 number1,General
"Allyson played for the Cook County Football League with number0 teams.In a season, each team kicked another team twice and twice, once at home.How many games do you play in a season?",/ * * number0 - number0 1.0 number1 number1,General
Larry started from number0 cards.number1 Eat of hippocampus.How many cards did Larry end?,- number0 number1,General
"Keith spent $ number0 on the speaker, $ number1 on the CD player, and $ number2 on the new tire.He wanted number3 CDs to be $ number4, but did not buy it.How much did he spend in total?",+ + number0 number1 number2,General
"Halloween Janet combines the candy they received.Janet has number0 pieces of candy, while her sister has number1 pieces.If they ate number2 pieces in the first night, how many are left?",- + number0 number1 number2,General
"Within one year, there are number0 million voters for presidential elections, and next year, number1 million voters.Find the percentage of voters?",* / - number1 number0 number0 100.0,General
Cara has some marble.She bought number0 marble.She now has number1 marble together.How many?,- number1 number0,General
"Lana (LANA) selected number0 tulips and number1 roses to make a bouquet.If she only used number2 flowers, how many flowers did LANA pick it?",- + number0 number1 number2,General
James rode number0 miles at a speed of number1 miles per hour.How long have James riding?,/ number0 number1,General
The tallest player in the basketball team is number0 inches tall.This is number1 inches taller than the shortest player.How high is the shortest player?,- number0 number1,General
"If the price of each piece is number1 cents, how much does it cost number0 pieces of gum?",* number0 number1,General
Paul has number0 strawberries in the basket.He chose number1 strawberries.How many strawberries did he?,+ number0 number1,General
"IESHA has number0 books.Six are about schools, and the rest are about exercise.How many books do you have about sports?",- number0 number1,General
"In a restaurant, the price of each meal is $ number0, and the children eat for free.If a group of number1 people come in and number2 people are children, how much does the group eat?",* number0 - number1 number2,General
Sam has number0 pence and number1 nickels in his bank.His father gave him number2 nickels and number3 quarters.How many nickels do he now?,+ number1 number2,General
"A painter needs number0 rooms in the building.Each room takes number1 hours of painting.If he has drew number2 rooms, how long will he spend to draw the rest?",* number1 - number0 number2,General
"Sally selected number0 lemon, and Mary selected number1 lemon from the lemon tree.How many lemons do you choose?",+ number0 number1,General
"A female waiter put the remaining egg ART in the refrigerator on Thursday night.She noticed that the restaurant had number0 pie, which was filled with cherries, number1 pieces, full of blueberries, and number2 pie filled with peaches.How much is the surplus of this restaurant left?",+ + number0 number0 number1,General
Candy bar has number0 calories.How many calories are of the number1 candy sticks?,* number0 number1,General
Glory has number0 boxes of tickets.Each box can accommodate number1 tickets and has number2 boxes.How many tickets are there in Gloilia?,* number0 number1,General
Qiong's cat has number0 kittens.She gave number1 friends.How many kittens do she have now?,- number0 number1,General
There are number0 bottles of water in Maria's refrigerator.How many bottles will she have if she drinks number1 and then buy number2 more?,- + number0 number2 number1,General
Each cup contains number0 ounces.How many ounces of number1 cups?,* number0 number1,General
"Halloween Katie combines the candy they received.Katie has number0 pieces of candy, while her sister has number1 pieces.If they ate number2 pieces in the first night, how many are left?",- + number0 number1 number0,General
"Five years from Earth to Planet X and number1 -light spacecraft -from planet X to Planet Y.Then, it walked from Planet Y to Earth for number2 years.How many years of Light -Space Ship Travel?",+ + number0 number1 number1,General
Martin has number0 boxes of crayons.Each box holds number1 crayons.How many crayons do Martin?,* number0 number1,General
If Annie wandered for number0 hours at a speed of number1 miles per hour.How far has Annie gone?,* number0 number1,General
The Richard Tigers sold a total of number0 tickets last season.How many tickets did they sell if they sold number1 tickets in the first half of this season?,- number0 number1,General
"Billy in the town rides number0 times and bumped number1 times.If the price of each car is number2 tickets, how many tickets did he use?",* number2 + number0 number1,General
"Joan found number0 shells on the beach, and she gave Mike number1 shells.How many shells do she have now?",- number0 number1,General
Kelly (Kelly) has number0 Ren Paradise games.How much do she need to donate so that there are number1 games left?,- number0 number1,General
"Mike has number0 video games, but number1 of them have no job.How much can he make if he wants to sell work games at a price of $ number2?",* number2 - number0 number1,General
Jessi has number0 bananas.How many bananas will each friend get from number1 friends?,/ number0 number1,General
"Rachel bought number0 new chairs and number1 new tables for her house.If she spent number2 minutes on each piece of furniture, she spent a few minutes to complete?",* number2 + number0 number1,General
"Mike joined the school band.He bought a trumpet for $ number0, and a song was $ number1.How much does Mike spend in a music store?",+ number0 number1,General
Lewis preserved the inspection of Grapevines.One of the pickers told him that they filled number0 grapes every day.How many grape drums will be filled within number1 days?,* number0 number1,General
"If Teresa jogged number0 kilometers at a speed of number1 kilometers per hour, how long does Teresa jog?",/ number0 number1,General
Meghan has number0 shells.How many shells she need to find to have number1 shells in her collection?,- number1 number0,General
"Su's family went to vacation.Her mother drove at a rate of number0 miles /h.After number1 hours of travel, they watched in camping.How far is the camping place from home?",* number0 number1,General
"Qiong has number0 orange balloons, but lost number1.How many orange balloons do Joan now?",- number0 number1,General
"Herm went to the County Expo last weekend.When she arrived there, she had to walk number0 miles from the car to the entrance.Then, she walked number1 miles, reaching the carnival amusement facilities, and returned to number2 miles from the carnival.How many miles of Hiney?",+ + number0 number0 number2,General
Craig started from number0 shoes.number1 Eat of hippocampus.How many shoes did Craig finish?,- number0 number1,General
The school debate team has number0 boys and number1 girls.How many groups can they form if they are divided into number2 groups?,/ + number0 number1 number2,General
Isabel bought number0 pieces of paper.She used number1 pieces of paper.How many pieces of paper left?,- number0 number1,General
"There are number0 Siamese cats and number1 family cats in a pet store.During the sale, they sold number2 cats.How many cats are left?",- + number0 number1 number2,General
Mary has number0 yellow marble Qiong Qiong and number1 yellow marble.How many yellow marble do they have?,+ number0 number1,General
"A bee colonies produced number0 pounds of honey, but contained number1 pounds of honey.How much honey is left?",- number0 number1,General
Aaron started from number0 eras..He gave Doris number1.How much rubber ended with Aaron?,- number0 number1,General
"Sara selected number0 pears from the pear trees, and Sally chose number1 pears from the pear trees.How many pears have I picked in total?",+ number0 number1,General
There are number0 pencils and number1 governors in the drawer.Sally took out number2 pencils from the drawer.How many pencils are there now?,- number0 number1,General
"Benny received $ number0 and number1 movie tickets on his birthday.He went to a sporting goods store and bought baseball gloves, baseball and bats.He has $ number2, how much does he spend on baseball equipment?",- number0 number2,General
Fred has number0 baseball cards.Melanie purchased six baseball cards of Fred.How many baseball cards do Fred now?,- number0 number1,General
"Prior to December, the customer purchased number0 earmuffs from the shopping center.During December, they purchased number1 more, there were no remaining.Overall, how many ears do customers buy smoking?",+ number0 number1,General
"On Friday, number0 people visited the zoo.The number of people visited Saturday was number1 times that of Friday.How many people visited the zoo on Saturday?",* number0 number1,General
There are number0 pencils in the drawer.Mike put number1 pencils in the drawer.How many pencils are there now?,+ number0 number1,General
Andrew started from number0 eggs.He bought number1 more.How many eggs did Andrew end?,+ number0 number1,General
Billy organizes a baseball card in number0 live pages on each page.How many pages would he use if he had number1 new cards and number2 old cards in the live pages?,/ + number1 number2 number0,General
My car is number0 miles per gallon gasoline.How much gallon gasoline does it need to reach her house if Grandma's house is number1 miles away?,/ number1 number0,General
Your class is holding a pizza party.You buy number0 Bisa cakes.Each pizza has number1 tablets.How many films are this?,* number0 number1,General
"The waiters of the ""The Greasy Spoon"" restaurant have number0 customers who need to wait.At lunch, he added number1 customers.If number2 customers did not provide him with a tip, how many customers left a tip?",- + number0 number1 number2,General
Lilian collected number0 kinds of candy.Lilian's father gave Lilian number1 again.How many candy does Lilian have?,+ number0 number1,General
"Ashley sold number0 boxes of Samo.How many boxes are number1 boxes, plus Ashley need additional boxes?",/ number0 number0,General
It rained number0 inches on Saturday and rained number1 inches on Sunday.How much did it rain on Saturday and Sunday?,+ number0 number1,General
Anthony has number0 pencils.Catherine gave Anthony number1.How many pencils are there in Anthony?,+ number0 number1,General
"There are number0 roses in the flower shop.If she sells number1 of them and then selects number2, how many roses will she have?",- + number0 number2 number1,General
"The park currently has number0 short shrubs and number1 tall trees.Park workers will plant number2 short shrubs today.After the workers are completed, there will be a short shrub in the park?",+ number0 number2,General
The Sumata family took a number0 -day holiday by car.They drive number1 miles a day.How many miles did they drive?,* number0 number1,General
"Emily is playing trivial games.In the first round, she scored number0 points, and in the second round, she scored number1 points.In the last round, she lost number2 points.How much do she have at the end of the game?",- + number0 number1 number2,General
"Joshua has number0 eggs and number1 eggs.If he shared the candy among number2 friends, how many shoes do each friend have?",/ number0 number2,General
"Sandy went to shopping center to buy clothes.She spent $ number0 on shorts, $ number1 on the shirt, and $ number2.How much did Sandy spend?",+ + number0 number1 number2,General
"Katie has number0 songs on her MP3 player.If she deletes number1 old songs and then adds number2 new songs, how many songs do she have on the MP3 player?",- + number0 number2 number1,General
Maria (Maria) needs number0 cartons to make berry shoemakers.She already has number1 carton strawberries and number2 cartons.How many cartons should Maria buy?,- number0 + number1 number2,General
"Betty bought number0 pink pink flowers and wanted to make number1 bracelets with these stones.If each bracelet uses the same number of stones in each bracelet, how many pink flower stones will each bracelet have?",/ number0 number1,General
"This year's sports car is worth $ number0, which is the $ number1 of last year.The value of the vehicle was found last year.",/ number0 number1,General
Sandy has number0 dozens.Fred's book is number1 times that of Sandy.How many books are Fred?,* * number0 12.0 number1,General
"There are currently number0 oak trees in the park.Park workers had to cut off the damaged number1 oak trees.After the workers are completed, how many oak trees will there be?",- number0 number1,General
Meghan has number0 marks.Robert gave her number1 marks.How many markers are there in Megan?,+ number0 number1,General
Mary has number0 nickels in her bank.Her father gave her number1 nickels.How many nickels do Mary now have nickels?,+ number0 number1,General
"If Madison sells number0 boxes of tower Galon, how many boxes are number1 boxes of Madison's Madison pickup?",/ number0 number1,General
Alec and his roommates ate number0 products on Friday night and ate number1 -grade ice cream on Saturday night.How many products did they eat?,+ number0 number1,General
"There are number0 apples in the buffet restaurant.During lunch, they distributed number1 to the students and decided to use the remaining pie.How many pie can they make if they are sent to use number2 apples?",/ - number0 number1 number2,General
"Some insects called aphids attacked a large farm.In response, farmers released ladybugs to the field.There are number0 ladybugs, with spots and number1 ladybugs without spots.How many ladybugs are there?",+ number0 number1,General
Nanxi found number0 shells and number1 stars on the beach.She gave number2 shells to Jason.How many shells do Nanyi now?,- number0 number2,General
number0 The students in the band are in the trumpet.number1 The students in the band are in the long number.How many parts of the students in the band are in the trumpet or long number?,+ number0 number1,General
"A magician sells the magic card deck at a price of $ number0.If he started from number1 deck, at the end of the day, how much did he make?",* number0 - number1 number2,General
Lore has number0 marble.How many marbles will each friend get from number1 friends?,/ number0 number1,General
There are number0 pencils in the box.Eric picked up number1 pencils.how much is left?,- number0 number1,General
"A renovation project requires number0 trucks -sand, number1 trucks -dirt and number2 truck -cement loads.How many trucks are needed in total -need a lot of materials?",+ + number0 number0 number1,General
"Keith spent $ number0 to buy rabbit toys, $ number1 pet food and a cage spent $ number2.He found a dollar bill on the ground.What is the total cost of buying in Keith?",+ + number0 number1 number2,General
"There are number0 packs of lemon heads.Louis ate number1 lemon heads.How many boxes did he eat, how many lemon heads did he leave?",/ number1 number0,General
"If Benjamin walks number0 miles at a speed of number1 miles per hour, how long has Benjamin traveled?",/ number0 number1,General
Jason planted number0 watermelons and number1 pumpkins.Sandy planted number2 kinds of watermelon.How many watermelons do they grow?,+ number0 number2,General
"The price of each chocolate bar in the box is $ number0.If a box has a total of number1 bars, and Vanessa is sold all of the bars except number2 bars, how much will she make?",* number0 - number1 number2,General
There are number0 bottle caps in a box.Marvin holds number1 bottle caps.how much is left?,- number0 number1,General
Mary has number0 potatoes in the garden.The rabbit ate number1 potatoes.How many potatoes do Mary now?,- number0 number1,General
"A ship is equipped with number0 tons of goods.It stopped at Bahamas, and sailors added number1 tons of goods on the boat.How many tons of goods do the ship hold now?",+ number0 number1,General
George has number0 boxes of eggs.Each box holds number1 eggs and has number2 boxes.How many eggs do George have?,* number0 number1,General
Tim has number0 cents.He paid number1 cents of candy.How much will he get?,- number0 number1,General
Annie started from number0 Crayons.Matthew given Annie number1.How many crayons did Annie end?,+ number0 number1,General
There are number0 crayons in each box.How many of the number1 boxes are Crayon?,* number0 number1,General
"Peter has number0 candy in the box.If there are number1 boxes, how many candy must be available in each box?",/ number0 number0,General
Robin has number0 packs of gum.There are number1 of each packaging.How many pieces of gum are Robin?,* number0 number1,General
"For Halloween, Meghan received number0 pieces of candy and number1 pieces of candy from his neighbor.If she eats only number2 pieces a day, how long will the candy last?",/ + number0 number1 number2,General
Joyce started from number0 Apple.She gave Larry number1.How many apples do Joyce end?,- number0 number1,General
"Mike (Mike) made $ number0 trimming lawn and $ number1 weeds.If he spends only $ number2 a week, how long will the money last?",/ + number0 number1 number2,General
Mrs .The tool reads number0 books a day.How many books did she read number1 days later?,* number0 number1,General
"James ate number0 carrot sticks before dinner, and then number1 after dinner.How many carrot stick did he eat?",+ number0 number1,General
"Vincent purchased number0 books on animals, number1 books on outer space and number2 books about the train.The price of each book is $ number3.How much does Vincent spend?",* + + number0 number1 number2 number3,General
"Alyssa participated in number0 football games this year, but lacked number1 games.She participated in number2 games last year and plans to participate in number3 games next year.How many football games will ALYSSA participate?",+ + number0 number2 number3,General
"For a birthday party, Kody purchased number0 conventional soda and number1 weight loss soda.If his refrigerator has only number2 on each shelf, how many shelf will he fill?",/ + number0 number1 number2,General
William has number0 marbles.He shared number1.How many marbles will William have?,- number0 number1,General
Misha has $ number0.How much does she have to make to buy a dog for $ number1?,- number1 number0,General
"Haley is playing video games and has number0 lives.In a difficult part of the game, she lost the life of number1 people.How many life will she have if she has number2 lives at a new level?",- + number0 number2 number1,General
"Prior to December, the customer purchased number0 earmuffs from the shopping center.During December, they bought number1, no.Overall, how many ears do customers buy smoking?",+ number0 number1,General
John organized a baseball card in number0 live pages on each page.How many pages would he use if he had number1 new cards and number2 old cards in the live pages?,/ + number1 number2 number0,General
"Lawyers serve $ number0 per hour.If the customer's case takes number1 hours to complete, the proportion is used to calculate the number of customers who will owe lawyers in US dollars.",* number0 number1,General
Joseph has number0 candy.Casey gave Joseph number1 again.How many candy does Joseph have in total?,+ number0 number1,General
"Blain's car number0 miles per gallon.During his last trip, he used number1 gallon of gasoline.How many miles did he travel last time?",* number0 number1,General
"Mark's father gave him $ number0.Mark bought number1 books, and the price of each book was $ number2.How much is Mark left?",- number0 * number1 number2,General
"In order to fill in the order, the factory dyed number0 yards of silk green and number1 yards pink.How many yards are the command?",+ number0 number1,General
"Edward is trying to expand his game collection.He bought number0 games from a friend and bought number1 more in garage sales.If number2 of them can't work, how many excellent games did he eventually play?",- + number0 number1 number2,General
"There are number0 stickers on the page.If you have a number1 -page sticker, how many stickers do you have?",* number0 number1,General
Shirley started from number0 eggs.She buys number1 more.How many eggs did Shirley end?,+ number0 number1,General
