Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"Mike made $ number0 trimming lawn throughout the summer.If he spent $ number1 to buy a new cutting machine blade, can he use the remaining money to buy a $ number2 game of $ number2?",69.0 24.0 5.0,/ - number0 number1 number2,9,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?,,
"Gwen is organizing her book case to ensure that there are number0 books on each shelf.If she has number1 secret books and number2 bookshelves, how many books do she have?",4.0 5.0 3.0,* number0 + number1 number2,32,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,
"Paul saved $ number0.If he gets a subsidy of $ number1, how many $ number2 can he buy?",4.0 11.0 5.0,/ + number0 number1 number2,3,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Paul had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?,,
Mary started with number0 eggs.She found number1 again.How many eggs did Mary end?,27.0 4.0,#NAME?,31,"[2, 3, 4, 8, 9, 10, 15, 16, 17]",Mary starts with number0 eggs . She finds another number1 .,How many eggs does Mary end with ?,,
"Bai Lan made off -road off -road races and traveled backpack.She used number0 pounds of peanuts, number1 -pound chocolate tablets and number2 -pound raisins.How many pounds of off -road races did Bai Lan make?",0.16666666666666666 0.16666666666666666 0.08333333333333333,#NAME?,0.416666667,"[10, 11, 12, 15, 16, 17, 22, 23, 24, 34, 35, 36]","Brandy made trail mix for a backpacking trip . She used number0 pound of peanuts , number1 pound of chocolate chips , and number2 pound of raisins .",How many pounds of trail mix did Brandy make ?,,
Bridge is number0 pounds.Martha is number1 pounds.How much heavier than Martha?,39.0 2.0,#NAME?,37,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Bridget weighs number0 pounds . Martha weighs number1 pounds .,How much heavier is Bridget than Martha ?,,
"For Halloween, Bianca received number0 pieces of candy.She ate number1 yuan, and then stacked the remaining number2 pieces in each pile.How many piles can she make?",78.0 30.0 8.0,/ - number0 number1 number2,6,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",For Halloween Bianca received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?,,
There are number0 pencils in the drawer.Sara put number1 pencils in the drawer.How many pencils are there now?,115.0 100.0,#NAME?,215,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",There are number0 pencils in the drawer . Sara placed number1 pencils in the drawer .,How many pencils are now there in all ?,,
"During the arcade competition, Luke won number0 tickets and played ""Whak A Mole"" and number1 tickets to play ""Skee Ball"".If he tries to buy number2 votes per fare, how many can he buy?",2.0 13.0 3.0,/ + number0 number1 number2,5,"[7, 8, 9, 16, 17, 18, 33, 34, 35, 41, 42, 43]","While playing at the arcade , Luke won number0 tickets playing ' whack a mole ' and number1 tickets playing ' skee ball ' . If he was trying to buy candy that cost number2 tickets a piece ,",how many could he buy ?,,
Multiple countries have number0 parts -time employees and number1 full -time employees.How many employees work in the company?,2041.0 63093.0,#NAME?,65134,"[5, 6, 7, 11, 12, 13, 22, 23, 24]",A multi - national corporation has number0 part - time employees and number1 full - time employees .,How many employees work for the corporation ?,,
A box of books weighs number0 pounds.Each book weighs number1 pounds.How many books are there in the box?,42.0 3.0,/ number0 number1,14,"[4, 5, 6, 10, 11, 12, 19, 20, 21]",A box of books weighs number0 pounds . Each book weighs number1 pounds .,How many books are there in the box ?,,
You have number0 balloons and your friends have number1 balloons.Is there more balloon than your friends?,7.0 5.0,#NAME?,2,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",You have number0 balloons and your friend has number1 balloons .,How many more balloons do you have than your friend ?,,
"During lunch, there were number0 customers in the waiters, and number1 of them did not leave a tip.How much did he make if he got $ number2 from a small person?",10.0 5.0 3.0,* number2 - number0 number1,15,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]","At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",how much money did he earn ?,,
"Five students try to participate in the school's trivial team.If the six of them are not selected as a team, the rest are divided into number2 groups, how many students are there in each group?",17.0 5.0 3.0,/ - number0 number1 number2,4,"[1, 2, 3, 13, 14, 15, 29, 30, 31, 38, 39, 40]","There are number0 students trying out for the school 's trivia teams . If number1 of them did n't get picked for the team and the rest were put into number2 groups ,",how many students would be in each group ?,,
"The oil pipes at the sea rupture.Before the engineer began to repair the pipeline, the number0 gallon of oil was leaked into the water.Before fixed pipes, a total of number1 gallon of oil was leaked.When engineers fixed pipelines, how many gallon of oil leaks?",2475.0 6206.0,#NAME?,3731,"[15, 16, 17, 27, 28, 29, 49, 50, 51]","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 gallons of oil leaked into the water . A total of number1 gallons of oil leaked before the pipe was fixed .",How many gallons of oil leaked while the engineers were fixing the pipe ?,,
"If Benjamin is number0 kilometers skating at a speed of number1 kilometers per hour, how long is Benjamin skating?",80.0 10.0,/ number0 number1,8,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Benjamin skated number0 kilometers at number1 kilometers per hour ,",how long was Benjamin skating ?,,
"There are number0 puppies in a pet store.Within one day, they sold number1 of them, and then put the rest of the cages in each cage. There were number2 cages.How many cages did they use?",88.0 34.0 6.0,/ - number0 number1 number2,9,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?,,
"Dave bought number0 boxes of chocolate candy and gave his brother number1 boxes.If there are number2 pieces in each box, how many pieces are there?",12.0 5.0 3.0,* number2 - number0 number1,21,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]","Dave bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Dave still have ?,,
"Mike discovered number0 shells and number1 starfish, but number2 of them were broken.How many uninterrupted shells did Mike find?",6.0 4.0 4.0,#NAME?,2,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 20, 21, 22]","Mike found number0 seashells and number1 starfish , but number2 of the seashells were broken .",How many unbroken seashells did Mike find ?,,
Mrs .Hilder bought number0 Bisa cakes for each price of $ number1.What is the total amount she paid for the three pizza?,3.0 8.0,* number0 number1,24,"[2, 3, 4, 6, 7, 8, 18, 19, 20]",Mrs. Hilt bought number0 pizzas for $ number1 each .,What was the total amount she paid for the three pizzas ?,,
"The school buffet has number0 red apples and number1 green apples for lunch.However, if only number2 students want fruit, how much is the buffet restaurant in the end?",43.0 32.0 2.0,#NAME?,73,"[3, 4, 5, 7, 8, 9, 18, 19, 20, 30, 31, 32]","The school cafeteria ordered number0 red apples and number1 green apples for students lunches . But , if only number2 students wanted fruit ,",how many extra did the cafeteria end up with ?,,
"number0 girls and number1 boys work hard for the school basketball team.If only number2 of them are called back, how many students are not promoted?",39.0 4.0 26.0,#NAME?,17,"[1, 2, 3, 4, 5, 6, 16, 17, 18, 29, 30, 31]","There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back ,",how many students did n't make the cut ?,,
The price of each ticket is $ number0.How much is number1 tickets?,9.0 4.0,* number0 number1,36,"[3, 4, 5, 8, 9, 10, 9, 10, 11]",Each ticket costs $ number0 .,How much do number1 tickets cost ?,,
"Recently, the value of the Kate retirement fund has fallen by $ number0.If her funds are worth $ number1, how much is now worth?",12.0 1472.0,#NAME?,1460,"[11, 12, 13, 19, 20, 21, 26, 27, 28]","Recently , the value of Kate 's retirement fund decreased by $ number0 . If her fund was worth $ number1 before ,",how much is it worth now ?,,
A sandbox is number0 cm long and number1 cm wide.How many square centimeters are covered with sandboxes?,312.0 146.0,* number0 number1,45552,"[2, 3, 4, 6, 7, 8, 18, 19, 20]",A sandbox is number0 centimeters long and number1 centimeters wide .,How many square centimeters of ground does the sandbox cover ?,,
"There are number0 bird cages in a pet shop.If there are number1 parrots and number2 parrots in each cage, how many birds are there in a pet store?",9.0 2.0 6.0,* number0 + number1 number2,72,"[3, 4, 5, 11, 12, 13, 14, 15, 16, 26, 27, 28]","A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",how many birds does the pet store have total ?,,
Mrs .Hilder bought ice cream cone at a price of number0 cents.How much does number1 ice cream egg tube cost?,99.0 2.0,* number0 number1,198,"[7, 8, 9, 13, 14, 15, 16, 17, 18]",Mrs. Hilt bought an ice cream cone for number0 cents .,How much would number1 ice cream cones cost ?,,
Sally has number0 blue balloons.Fred's blue balloon is number1 times that of Sali.How many blue balloons do Fred now?,6.0 3.0,* number0 number1,18,"[1, 2, 3, 7, 8, 9, 23, 24, 25]",Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally .,How many blue balloons does Fred have now ?,,
How long will Joan travel if Joan ride a bicycle at a speed of number1 miles per hour?,25.0 5.0,/ number0 number1,5,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Joan bicycled number0 miles at number1 miles per hour ,",how long was Joan travelling ?,,
"Each child has number0 bottle caps.If there are number1 children, how many bottle caps are there?",5.0 9.0,* number0 number1,45,"[2, 3, 4, 9, 10, 11, 18, 19, 20]","Each child has number0 bottle caps . If there are number1 children ,",how many bottle caps are there in total ?,,
Jesse's room is number0 feet long and number1 feet wide.How many carpets do she need to cover the entire floor?,12.0 8.0,* number0 number1,96,"[3, 4, 5, 7, 8, 9, 20, 21, 22]",Jesse ’ s room is number0 feet long and number1 feet wide .,How much carpet does she need to cover the whole floor ?,,
There are number0 paper cup cakes for number1 children to share.How much will they get if everyone shared the paper cup cake equally?,96.0 8.0,/ number0 number1,12,"[1, 2, 3, 4, 5, 6, 19, 20, 21]",There are number0 cupcakes for number1 children to share .,How much will each person get if they share the cupcakes equally ?,,
Nanyi has number0 black balloons.Mary's black balloon is number1 times that of Nancy.How many black balloons do Mary now?,7.0 4.0,* number0 number1,28,"[1, 2, 3, 7, 8, 9, 23, 24, 25]",Nancy has number0 black balloons . Mary has number1 times more black balloons than Nancy .,How many black balloons does Mary have now ?,,
Junior students asked Christian to help him put number0 seedlings in the packaging.How many packets do I need if each packet needs to contain number1 seeds?,420.0 7.0,/ number0 number1,60,"[8, 9, 10, 19, 20, 21, 26, 27, 28]","The junior ranger asked Christian to help him place number0 seedlings in packets . If every packet needs to contain number1 seeds ,",how many packets do they need ?,,
"Halloween, Haley won number0 pieces of candy.She ate number1 pieces in the first night, and then her sister gave her number2 more.How many candy does Hailey now have it?",33.0 17.0 19.0,#NAME?,35,"[3, 4, 5, 10, 11, 12, 21, 22, 23, 32, 33, 34]",For Halloween Haley scored number0 pieces of candy . She ate number1 pieces the first night and then her sister gave her number2 more pieces .,How many pieces of candy does Haley have now ?,,
"There were number0 houses in Lincoln County.During the prosperity of the housing, developers were built number1.How many houses are there in Lincoln County now?",20817.0 97741.0,#NAME?,118558,"[2, 3, 4, 15, 16, 17, 24, 25, 26]","There were originally number0 houses in Lincoln County . During a housing boom , developers built number1 .",How many houses are there now in Lincoln County ?,,
"The Eagle Team scored number0 tactile land, with a value of number1 points at a time.What time do they have?",3.0 7.0,* number0 number1,21,"[2, 3, 4, 5, 6, 7, 13, 14, 15]",The Hawks scored number0 touchdowns worth number1 points each .,How many points do they have ?,,
"Sara selected number0 pears, and Tim selected number1 pears from the pear trees.How many pears have I picked in total?",6.0 5.0,#NAME?,11,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Sara picked number0 pears and Tim picked number1 pears from the pear tree .,How many pears were picked in total ?,,
"The grocery store sells soft drinks at a price of $ number0 and sells at a price of number1 packs.If you buy it alone, how much will the cost of each soft drink?",2.99 12.0,/ number0 number1,0.25,"[9, 10, 11, 13, 14, 15, 29, 30, 31]",Soft drinks are on sale at the grocery store for number0 dollars for a number1 pack .,"How much would each can of soft drink cost if purchased individually , in dollars ?",,
"Page has number0 mathematical issues and number1 scientific issues.If she has completed number2 questions at school, how much problem she needs to do for her homework?",43.0 12.0 44.0,#NAME?,11,"[1, 2, 3, 5, 6, 7, 14, 15, 16, 29, 30, 31]","Paige had number0 math problems and number1 science problems for homework . If she finished number2 of the problems at school ,",how many problems did she have to do for homework ?,,
Mandy made an apple.She used number0 tablespoons of cinnamon and number1 tablespoons.How much is the cinnamon used by Mandy than meatmem?,0.6666666666666666 0.5,#NAME?,0.166666667,"[7, 8, 9, 12, 13, 14, 24, 25, 26]",Mandy made an apple pie . She used number0 tablespoon of cinnamon and number1 tablespoon of nutmeg .,How much more cinnamon than nutmeg did Mandy use ?,,
"Bridge has number0 SKITTLES.Henry has number1 SkitTles.If Henry gives all the candy to Brits, how many SKITTLES will Britsass?",4.0 4.0,#NAME?,8,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Bridget has number0 Skittles . Henry has number1 Skittles . If Henry gives all of his Skittles to Bridget ,",how many Skittles will Bridget have ?,,
"The price of a textbook is $ number0 in the bookstore, and the store is sold at a price of $ number1.Find the profit amount according to the sales price.",44.0 55.0,#NAME?,11,"[4, 5, 6, 13, 14, 15, 24, 25, 26]","A textbook costs a bookstore number0 dollars , and the store sells it for number1 dollars .",Find the amount of profit based on the selling price .,,
"When playing Trivia games, Mike answered number0 questions in the first half, and there were number1 questions in the second half.If each problem is worth number2 points, what is his final result?",3.0 5.0 3.0,* number0 + number0 number1,24,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , Mike answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,
"In his wife.Hilder's house has number0 inches of snow, while Blaknak Primary School received number1 inches of snow.How much snow has the wife.Is there in Hilder's house?",29.0 17.0,#NAME?,12,"[7, 8, 9, 17, 18, 19, 32, 33, 34]","At Mrs. Hilt 's house , there was number0 inches of snow , and Brecknock Elementary School received number1 inches of snow .",How much more snow did Mrs. Hilt 's house have ?,,
