Problem,annotated_formula
the speed of a car is number0 km in the first hour and number1 km in the second hour . what is the average speed of the car ?,"/(+(number0, number1), 2)"
"a cistern can be filled by a tap in number0 hours while it can be emptied by another tap in number1 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?","/(1, -(/(1, number0), /(1, number1)))"
a runs twice as fast as b and gives b a start of number0 m . how long should the racecourse be so that a and b might reach in the same time ?,"*(number0, 2)"
"a , b , c can complete a piece of work in number0 , number1,number2 days . working together , they complete the same work in how many days ?","/(1, +(+(/(1, number0), /(1, +(4, 2))), /(1, *(2, +(4, 2)))))"
"if the horse can run number0 miles / hour , how many days would it take for a horse to run from new york city to washington . d . c . ? ( number1 miles from nyc to d . c . )","/(/(number1, number0), /(number1, number0))"
express a speed of number0 kmph in meters per second ?,"*(0.2778, number0)"
"a group of men decided to do a work in number0 days , but number1 of them became absent . if the rest of the group did the work in number2 days , find the original number of men ?","/(*(number1, number2), -(number2, number0))"
"the hiker walking at a constant rate of number0 miles per hour is passed by a motor - cyclist traveling in the same direction along the same path at number1 miles per hour . the motor - cyclist stops to wait for the hiker number2 minutes after passing her , while the hiker continues to walk at her constant rate , how many minutes must the motor - cyclist wait until the hiker catches up ?","*(number1, 1_6)"
"the speed at which a man can row a boat in still water is number0 kmph . if he rows downstream , where the speed of current is number1 kmph , what time will he take to cover number2 metres ?","/(number2, *(+(number0, number1), 0.2778))"
"a train consists of number0 boggies , each boggy number1 metres long . the train crosses a telegraph post in number2 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in","/(-(*(number0, number1), number1), /(*(number0, number1), number2))"
"a train leaves delhi at number0 a . m . at a speed of number1 kmph . another train leaves at number2 p . m . at a speed of number3 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?","*(/(*(number1, +(3, number2)), -(number3, number1)), number3)"
"two cars are driving toward each other . the first car is traveling at a speed of number0 km / h , which is number1 % slower than the second car ' s speed . if the distance between the cars is number2 km , how many hours will it take until the two cars meet ?","/(+(*(number0, 4), *(/(*(4, number0), +(1, 4)), 4)), +(number0, /(*(4, number0), +(1, 4))))"
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,"-(*(number2, *(number1, 0.2778)), number0)"
"by travelling at number0 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?","/(-(*(number0, 3), /(*(*(number0, 3), 2), 3)), -(3, 1))"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
the minute hand of a clock overtakes the hour hand at intervals of number0 minutes of correct time . how much does the clock gain or lose in number1 hours ?,"*(-(/(*(*(2, 3), 60), /(-(*(*(2, 3), 60), /(*(*(2, 3), 60), *(3, 4))), 60)), number0), 60)"
"a tank can supply water to a village for number0 days . if a leak at the bottom of the tank drains out number1 liters per day , the supply lasts for number2 days only . for how many days will the supply last if the leak drains out number0 liters per day ?","/(*(/(*(number1, number2), -(number0, number2)), number0), +(number0, /(*(number1, number2), -(number0, number2))))"
"number0 of the scientists that attended a certain workshop were wolf prize laureates , and number1 of these number0 were also nobel prize laureates . of the scientists that attended that workshop and had not received the wolf prize , the number of scientists that had received the nobel prize was number2 greater than the number of scientists that had not received the nobel prize . if number3 of the scientists attended that workshop , how many of them were nobel prize laureates ?","+(+(number2, /(-(-(number3, number0), number2), 2)), number1)"
number0 men can complete a piece of work in number1 days . in how many days can number2 men complete that piece of work ?,"/(*(number1, number0), number2)"
a number0 metre long train crosses a platform in number1 seconds while it crosses a post in number2 seconds . what is the length of the platform ?,"/(-(*(/(number0, /(number2, 3)), number1), *(3, number0)), 3)"
"number0 persons can repair a road in number1 days , working number2 hours a day . in how many days will number3 persons , working number4 hours a day , complete the work ?","/(*(*(number0, number1), number2), *(number3, number4))"
two boats are heading towards each other at constant speeds of number0 miles / hr and number1 miles / hr respectively . they begin at a distance number1 miles from each other . how far are they ( in miles ) one minute before they collide ?,"/(+(number1, number0), 60)"
"a honey bee flies for number0 seconds , from a daisy to a rose . it immediately continues to a poppy , flying for number1 additional seconds . the distance the bee passed , flying from the daisy to the rose is number1 meters longer than the distance it passed flying from the rose to the poppy . the bee flies to the poppy at number2 meters per second faster than her speed flying to the rose . the bee flies how many meters per second from the daisy to the rose ?","/(+(*(number1, number2), number1), number0)"
"there is enough provisions for number0 girls in a hostel for number1 days . if there were number2 girls less , how long will the provision last ?","+(/(*(number0, number2), 10), number1)"
"a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr , find the time taken by the boat to go number2 km downstream .","/(number2, +(number0, number1))"
"a and b undertake to do a piece of work for rs . number0 . a alone can do it in number1 days while b alone can do it in number2 days . with the help of c , they finish it in number3 days . ! find the share of each .","*(/(1, +(+(4, 3), 1)), number0)"
"the edges of three metal cubes are number0 cm , number1 cm , and number2 cm respectively . a new cube is made by melting these three cubes together . what is the edge of the new cube ( in centimeters ) ?","^(+(^(number2, 3), +(number0, ^(number1, 3))), 0.33)"
car a runs at the speed of number0 km / hr & reaches its destination in number1 hr . car b runs at the speed of number2 km / h & reaches its destination in number3 h . what is the respective ratio of distances covered by car a & car b ?,"/(*(number0, number1), *(number2, number3))"
how many pieces of number0.number1 meteres can be cut from a rod number2.number3 meteres long,"/(number2.number3, number0.number1)"
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?","/(number0, *(number1, 0.2778))"
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?","-(60, *(60, /(number1, number0)))"
"if jack walked number0 miles in number1 hour and number2 minutes , what was his rate of walking in miles per hour ?","/(*(number0, 60), +(number2, 60))"
"yesterday it took robert number0 hours to drive from city a to city b . today it took robert number1.number2 hours to drive back from city в to city a along the same route . if he had saved number3 minutes in both trips , the speed for the round trip would be number4 miles per hour . what is the distance between city a and city b ?","/(*(number4, -(+(number0, number1.number2), 1)), 2)"
how many seconds will a train number0 meters long take to cross a railway platform number1 meters long if the speed of the train is number2 kmph ?,"/(+(number1, number0), *(number2, 0.2778))"
a work can be finished in number0 days by ten women . the same work can be finished in fifteen days by ten men . the ratio between the capacity of a man and a woman is,"/(/(1, *(+(number0, 2), 10)), /(1, *(number0, 10)))"
a train speeds past a pole in number0 seconds and a platform number1 m long in number2 seconds . its length is,"*(number1, -(2, 1))"
"the population of a bacteria colony doubles every day . if it was started number0 days ago with number0 bacteria and each bacteria lives for number1 days , how large is the colony today ?","-(^(number0, +(number0, 1)), 1)"
"the h . c . f of two numbers is number0 and their l . c . m is number1 . if one of the numbers is number2 , then the other is ?","*(number0, number2)"
"in a kilometer race , a beats b by number0 meters or number1 seconds . what time does a take to complete the race ?","-(/(*(1, 1000), /(number0, number1)), number1)"
a car consumes number0 liters of petrol weekly . for how many days will number1 liters of petrol be sufficient ?,"*(/(number1, number0), +(4, 3))"
the sum of two consecutive integers is number0 . find the numbers .,"+(+(^(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), ^(+(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), 2)), +(^(/(-(-(number0, 10), 2), 4), 2), ^(+(/(-(-(number0, 10), 2), 4), 2), 2)))"
the speed of a car is number0 km in the first hour and number1 km in the second hour . what is the average speed of the car ?,"/(+(number0, number1), 2)"
two trains number0 m and number1 m long run at the speed of number2 kmph and number3 kmph in opposite directions in parallel tracks . the time which they take to cross each other is ?,"/(+(number0, number1), *(+(number2, number3), 0.2778))"
"a cistern is filled by a tap in number0 number1 / number2 hours . due to leak in the bottom of the cistern , it takes half an hour longer to fill the cistern . if the cistern is full how many hours will it take the leak to empty it ?","/(number1, -(/(number1, +(number0, /(number1, number2))), /(number1, 4)))"
two trains number0 m and number1 m long run at the speed of number2 km / hr and number3 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,"/(+(number0, number1), *(+(number2, number3), 0.2778))"
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 hours each time . find the speed of the stream ?","/(-(/(number0, number2), /(number1, number2)), 2)"
"a train is moving at a speed of number0 km / hour . if the length of the train is number1 meters , how long will it take to cross a railway platform number2 meters long .","/(+(number1, number2), *(number0, 0.2778))"
"number0 machines , each working at the same constant rate , together can complete a certain job in number1 days . how many additional machines , each working at the same constant rate , will be needed to complete the job in number2 days ?","-(/(*(number0, +(4, 1)), number1), +(4, 1))"
"a water tank is one - fifth full . pipe a can fill a tank in number0 minutes and pipe b can empty it in number1 minutes . if both the pipes are open , how many minutes will it take to empty or fill the tank completely ?","*(/(1, +(1, 4)), /(1, -(/(1, number1), /(1, number0))))"
a woman complete a journey in number0 hours . she travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km .,"*(*(/(*(number0, number2), +(number2, number1)), number1), 2)"
the speed of a train is number0 kmph . what is the distance covered by it in number1 minutes ?,"*(/(number1, 60), number0)"
ram covers a part of the journey at number0 kmph and the balance at number1 kmph taking total of number2 hours to cover the distance of number3 km . how many hours has been driving at number0 kmph ?,"/(-(*(number2, number1), number3), -(number1, number0))"
"in one hour , a boat goes number0 km along the stream and number1 km against the stream . the speed of the boat in still water ( in km / hr ) is :","/(+(number0, number1), 2)"
"if number0 spiders make number1 webs in number2 days , then how many days are needed for number3 spider to make number3 web ?","*(number3, number0)"
"audrey number0 hours to complete a certain job . ferris can do the same job in number1 hours . audrey and ferris decided to collaborate on the job , working at their respective rates . while audrey worked continuously , ferris took number2 breaks of equal length . if the two completed the job together in number3 hours , how many minutes long was each of ferris ’ breaks ?","/(-(*(number3, *(number2, 10)), *(/(number1, number3), *(number2, 10))), number2)"
"a can do a work in number0 days , b can do a work in number1 days and c can do it in number2 days . b left work after number0 days . for how many number of days should a and c should work together to complete the remaining work ?","+(/(number0, number0), /(number0, number1))"
number0 : number1 seconds : : ? : number2 minutes,"*(number2, /(number0, number1))"
a train number0 m long takes number1 sec to cross a man walking at number2 kmph in a direction opposite to that of the train . find the speed of the train ?,"-(/(/(number0, number1), 0.2778), number2)"
"two trains , each number0 m long , moving in opposite directions , cross other in number1 sec . if one is moving twice as fast the other , then the speed of the faster train is ?","/(*(*(/(+(number0, number0), *(number1, +(1, 2))), 2), 3600), 1000)"
"the consumption of diesel per hour of a bus varies directly as square of its speed . when the bus is travelling at number0 kmph its consumption is number1 litre per hour . if each litre costs $ number0 and other expenses per hous is $ number0 , then what would be the minimum expenditure required to cover a distance of number2 km ?","+(*(/(number2, number0), number0), *(/(number2, number0), number0))"
"bob wants to run a mile in the same time as his sister . if bob ’ s time for a mile is currently number0 minutes number1 seconds and his sister ’ s time is currently number0 minutes number2 seconds , by what percent does bob need to improve his time in order run a mile in the same time as his sister ?","*(*(number0, number0), -(1, /(+(*(number0, 60), number2), +(*(number0, 60), number1))))"
"bella is taking a trip in her car from new york ( point a ) chicago , illinois ( point b ) . she is traveling at an average speed of number0 miles per hour , if the total distance from point a to point b is number1 miles , in approximately how long will bella reach her destination ?","/(number1, number0)"
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of number0 kmph and number1 kmph respectively . when they meet , it is found that one train has traveled number2 km more than the other one . the distance between the two stations is ?","+(*(/(number2, -(number1, number0)), number0), *(/(number2, -(number1, number0)), number1))"
p can do a work in number0 days . q can do the samework in number1 days & r can do the same work in number2 days . q & r start the work and leave after number3 days . p finishes the remaining work in how many days .,"/(-(1, *(+(/(1, number2), /(1, number1)), number3)), /(1, number0))"
a can do a particular work in number0 days . b can do the same work in number1 days . a and b signed to do it for rs . number2 . they completed the work in number3 days with the help of c . how much is to be paid to c ?,"*(*(number3, -(/(1, number3), +(/(1, number0), /(1, number1)))), number2)"
"in how many seconds will a train number0 meters long pass an oak tree , if the speed of the train is number1 km / hr ?","/(number0, *(0.2778, number1))"
the length of minute hand of a clock is number0.number1 cm . what is the area covered by this in number2 minutes,"*(/(+(*(2, number2), 2), +(3, 4)), *(*(number0.number1, number0.number1), /(*(1, 60), *(100, 3_6))))"
a pipe takes a hours to fill the tank . but because of a leakage it took number0 times of its original time . find the time taken by the leakage to empty the tank,"*(10, *(1, number0))"
"jonathan can type a number0 page document in number1 minutes , susan can type it in number2 minutes , and jack can type it in number3 minutes . working together , how much time will it take them to type the same document ?","/(number0, +(/(number0, number3), +(/(number0, number1), /(number0, number2))))"
"it takes number0 identical printing presses number1 hours to print number2,000 papers . how many hours would it take number4 of these printing presses to print number2,000 papers ?","/(*(/(1000, 2), 1000), *(/(/(*(/(1000, 2), 1000), number0), number1), number4))"
"two thirds of the roads from a to b are at least number0 miles long , and number1 / number2 of the roads from b to c are at least number0 miles long . if you randomly pick a road from a to b and then randomly pick a road from b to c , what is the probability that at least one of the roads you pick is at least number0 miles long ?","-(1, *(-(1, /(2, number1)), -(1, /(number1, number2))))"
a number0 m long train running at the speed of number1 kmph crosses another train running in opposite direction at the speed of number2 kmph in number3 seconds . what is the length of the other train ?,"-(*(/(+(number1, number2), 3_6), number3), number0)"
"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is number0 kilometers , maxwell ' s walking speed is number1 km / h , and brad ' s running speed is number2 km / h . what is the distance traveled by maxwell when they meet in the middle ?","*(number1, /(number0, +(number1, number2)))"
"the speed at which a man can row a boat in still water is number0 kmph . if he rows downstream , where the speed of current is number1 kmph , what time will he take to cover number2 metres ?","/(number2, *(+(number0, number1), 0.2778))"
two trains are moving at number0 kmph and number1 kmph in opposite directions . their lengths are number2 m and number3 m respectively . the time they will take to pass each other completely is ?,"/(+(number2, number3), *(+(number0, number1), 0.2778))"
"what is the greatest possible length which can be used to measure exactly the lengths number0 m , number1 m number2 cm and number3 m number2 cm ?","*(number3, 4)"
"a man started driving at a constant speed , from the site of a blast , the moment he heard the blast . he heard a second blast after a time of number0 mins and number1 seconds . if the second blast occurred exactly number0 mins after the first , how many meters was he from the site when he heard the second blast ? ( speed of sound = number2 m / s )","*(number2, number1)"
"a train leaves delhi at number0 a . m . at a speed of number1 kmph . another train leaves at number2 p . m . at a speed of number3 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?","*(/(*(number1, +(3, 2)), -(number3, number1)), number3)"
"a train number0 m long passes a man , running at number1 kmph in the direction opposite to that of the train , in number1 seconds . the speed of the train is","/(/(-(number0, *(*(number1, 0.2778), number1)), number1), 0.2778)"
"every day daniel drives number0 miles back from work . on sunday , daniel drove all the way back from work at a constant speed of x miles per hour . on monday , daniel drove the first number1 miles back from work at ( number2 x ) miles per hour , and the rest of the way at ( x / number2 ) miles per hour . the time it took daniel to drive back from work on monday is longer than the time it took him to drive back from work on sunday by what percent ?","*(/(-(+(/(number1, number2), *(-(number0, number1), number2)), number0), number0), 100)"
"if number0 men take number1 days to to complete a job , in how many days can number2 men finish that work ?","/(*(number0, number1), number2)"
"it takes printer a number0 more minutes more than printer b to print number1 pages . working together , the two printers can print number2 pages in number3 minutes . how long will it take printer a to print number4 pages ?","/(*(number4, +(*(number0, 2), number0)), number1)"
"if number0 pipes take an hour to fill a tank , then how long should number1 pipes take to fill the same tank ?","/(*(number0, 60), number1)"
"worker a takes number0 hours to do a job . worker b takes number1 hours to do the same job . how long it take both a & b , working together but independently , to do the same job ?","/(1, +(/(1, number0), /(1, number1)))"
express a speed of number0 kmph in meters per second ?,"*(0.2778, number0)"
"a boat running up stram takes number0 hours to cover a certain distance , while it takes number1 hours to cover the same distance running down stream . what is the ratio between the speed of the boat and the speed of water current respectively ?","-(number1, number0)"
someone on a skateboard is traveling number0 miles per hour . how many feet does she travel in number1 seconds ? ( number2 mile = number3 feet ),"*(number1, /(*(number0, number3), 3600))"
a train speeds past a pole in number0 seconds and a platform number1 m long in number2 seconds . its length is ?,"*(number1, -(2, 1))"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . what is the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
two stations p and q are number0 km apart on a straight track . one train starts from p at number1 a . m . and travels towards q at number2 kmph . another train starts from q at number3 a . m . and travels towards p at a speed of number4 kmph . at what time will they meet ?,"+(/(+(number0, number4), +(number2, number4)), number1)"
"the length of a rectangular plot is number0 metres more than its breadth . if the cost of fencing the plot @ rs . number1.number2 per metre is rs . number3 , what is the length of the plot in metres ?","-(/(/(number3, number1.number2), 2), *(2, number0))"
"a certain electric - company plan offers customers reduced rates for electricity used between number0 p . m . and number0 a . m . weekdays and number1 hours a day saturdays and sundays . under this plan , the reduced rates z apply to what fraction of a week ?","/(+(*(/(number1, 2), +(2, 3)), *(number1, 2)), *(number1, +(3, 4)))"
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?","/(+(number0, number1), *(+(number2, number3), 0.2778))"
"at a certain resort , each of the number0 food service employees is trained to work in a minimum of number1 restaurant and a maximum of number2 restaurants . the number2 restaurants are the family buffet , the dining room , and the snack bar . exactly number3 employees are trained to work in the family buffet , number4 are trained to work in the dining room , and number5 are trained to work in the snack bar . if number6 employees are trained to work in exactly number7 restaurants , how many employees are trained to work in all number2 restaurants ?","/(-(-(+(+(number3, number4), number5), number6), number0), number7)"
a train is number0 meter long is running at a speed of number1 km / hour . in what time will it pass a bridge of number2 meter length ?,"/(+(number0, number2), /(*(number1, 1000), 3600))"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
how many pieces of number0 cm can be cut from a rope number1 meters long ?,"/(number1, number0)"
"a alone can finish a work in number0 days which b alone can finish in number1 days . if they work together and finish it , then out of a total wages of rs . number2 , a will get :","*(/(/(*(number1, 2), number0), +(/(*(number1, 2), number0), /(*(number1, 2), number1))), number2)"
"while driving from a - ville to b - town , harriet drove at a constant speed of number0 kilometers per hour . upon arriving in b - town , harriet immediately turned and drove back to a - ville at a constant speed of number1 kilometers per hour . if the entire trip took number2 hours , how many minutes did it take harriet to drive from a - ville to b - town ?","*(-(number2, /(*(number0, number2), +(number0, number1))), 60)"
"the dimensions of an open box are number0 cm , number1 cm and number2 cm . its thickness is number3 cm . if number4 cubic cm of metal used in the box weighs number5.number6 gms , find the weight of the box .","/(*(-(*(*(number0, number1), number2), *(*(-(number0, *(number3, 3)), -(number1, *(number3, 3))), -(number2, 3))), number5.number6), 1000)"
two goods trains each number0 m long are running in opposite directions on parallel tracks . their speeds are number1 km / hr and number2 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,"+(number1, number2)"
"an aeroplane covers a certain distance of number0 kmph in number1 hours . to cover the same distance in number2 number3 / number4 hours , it must travel at a speed of ?","/(*(number0, number1), /(+(*(number4, number2), number3), number4))"
"a boat running up stram takes number0 hours to cover a certain distance , while it takes number1 hours to cover the same distance running down stream . what is the ratio between the speed of the boat and the speed of water current respectively ?","-(number1, number0)"
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 number3 / number2 hours each time . find the speed of the stream ?","/(-(/(60.number4, number2), /(number1, number2)), 2)"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
"the inner circumference of a circular race track , number0 m wide , is number1 m . find radius of the outer circle ?","+(number0, /(/(number1, 3.141592653589793), 2))"
"how many cuboids of length number0 m , width number1 m and height number2 m can be farmed from a cuboid of number3 m length , number4 m width and number1 m height .","/(*(*(number3, number4), number1), *(*(number0, number1), number2))"
"an engineer undertakes a project to build a road number0 km long in number1 days and employs number2 men for the purpose . after number3 days , he finds only number4 km of the road has been completed . find the ( approximate ) number of extra men he must employ to finish the work in time .","-(/(*(*(number2, -(number0, number4)), number3), *(number4, -(number1, number3))), number2)"
"at steel factory , each employee working the second shift produced number0 / number1 as many widgets as each employee working the first shift . if the first shift has number1 / number2 as many employees , what fraction of the total widgets did the second shift produce ?","/(*(/(number0, number1), number2), +(number1, *(/(number0, number1), number2)))"
number0 men can complete a piece of work in number1 days . in how many days will number2 men complete the same work ?,"/(*(number1, number0), number2)"
"diana works number0 hours per day on monday , wednesday and friday , and number1 hours per day on tuesday and thursday . she does not work on saturday and sunday . she earns $ number2 per week . how much does she earn in dollars per hour ?","/(number2, +(*(2, number1), *(number0, 3)))"
a car travels at a speed of number0 miles per hour . how far will it travel in number1 hours ?,"*(number0, number1)"
the sector of a circle has radius of number0 cm and central angle number1 o . find its perimeter ?,"*(*(2, /(*(-(number0, 3), 2), +(4, 3))), number0)"
"after working for number0 days , david was joined by moore . together they completed the remaining job in number1 days . how many days will it take both of them to complete the entire job , given that it would have taken david number2 days to complete the job alone ?","*(/(number2, number0), number1)"
how long does a train number0 m long running at the speed of number1 km / hr takes to cross a bridge number2 m length ?,"/(+(number0, number2), *(number1, 0.2778))"
two airplanes take off from one airfield at noon . one flies due east at number0 miles per hour while the other flies directly northeast at number1 miles per hour . approximately how many miles apart are the airplanes at number2 p . m . ?,"√(-(^(*(number1, number2), number2), ^(*(number0, number2), number2)))"
"i spend number0 hours a week ( number1 days ) at work and like to organize my time so that i spend an equal number of hours on the two tasks i currently have . currently , i am spending number1 hours a day on task number2 and number3 on task number4 . how many hours a week less do i need to spend on task number2 in order to evenly distribute my time ?","+(-(-(/(number0, 2), number3), -(/(number0, 2), number1)), number3)"
what is the greatest of number0 consecutive integers whose sum is number1 ?,"+(/(-(number1, number0), number0), 2)"
number0 people can write number1 book in number2 days working number3 hour a day . then in how many day number4 can be written by number5 people ?,"/(*(number1, number2), /(number5, 2))"
"the current of a stream runs at the rate of number0 kmph . a boat goes number1 km and back to the starting point in number2 hours , then find the speed of the boat in still water ?","/(^(number0, number2), number2)"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is :","/(/(-(number0, *(*(number1, 0.2778), number1)), number1), 0.2778)"
"to fill a tank , number0 buckets of water is required . how many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to four - fifths of its present ?","/(*(number0, +(4, 1)), 2)"
"the cross - section of a cannel is a trapezium in shape . if the cannel is number0 m wide at the top and number1 m wide at the bottom and the area of cross - section is number2 sq m , the depth of cannel is ?","/(/(/(number2, /(+(number0, number1), 2)), 4), 2)"
"james and david work at a grocery shop with number0 other workers . for an internal review , number1 of the number0 workers will be randomly chosen to be interviewed . what is the probability that james and david will both be chosen ?","*(number1, *(/(1, number0), /(1, -(number0, 1))))"
"a man swims downstream number0 km and upstream number1 km taking number2 hours each time , what is the speed of the man in still water ?","/(+(/(number1, number2), /(number0, number2)), 2)"
a cistern number0 m long and number1 m wide contains water up to a depth of number2 m number3 cm . the total area of the west surface is :,"+(*(2, +(*(+(/(number3, 100), number2), number1), *(+(/(number3, 100), number2), number0))), *(number1, number0))"
"a can do a work in number0 days and b in number1 days . if they work on it together for number2 days , then the fraction of the work that is left is :","-(1, *(+(/(1, number0), /(1, number1)), number2))"
"if a light flashes every number0 seconds , how many times will it flash in ¾ of an hour ?","/(*(/(3600, 4), 3), number0)"
"while working alone at their constant rates , computer x can process number0 files in number1 hours , and computer y can process number0 files in number2 hours . if all files processed by these computers are the same size , how many hours would it take the two computers , working at the same time at their respective constant rates , to process a total of number0 files ?","/(number0, +(/(number0, number1), /(number0, number2)))"
