Problem,annotated_formula
"a certain junior class has number4 students and a certain senior class has number3 students . among these students , there are number2 siblings pairs each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected will be a sibling pair ?","/(number0, 3)"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
three coins are tossed . find the probability of at least number0 tails ?,"/(number0, ^(2, number0))"
"from a pack of number1 cards , number0 card is drawn at random . what is the probability that a red card is drawn ?","/(*(4, 3), number1)"
a letter lock consists of number0 rings each marked with number1 different letters . the number of distinct unsuccessful attempts to open the lock is at the most - .,"-(*(*(number1, number1), number1), 1)"
"a box contains number2 balls , numbered from number0 to number2 . if number1 balls are selected at random and with replacement from the box . if the number1 numbers on the balls selected contain two odd and one even . what is the probability g that the first ball picked up is odd numbered ?","/(2, number1)"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(number0, number0), -(*(number1, 2), 1))), /(-(*(number0, number0), 2), *(number0, number0))), /(-(-(*(number0, number0), 2), 2), -(*(number0, number0), 1)))"
find the probability that a year chosen at random has number0 mondays .,"/(2, +(3, 4))"
"a certain junior class has number4 students and a certain senior class has number3 students . among these students , there are number2 siblings pairs each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected will be a sibling pair ?","/(number0, 3)"
a card is drawn from a pack of number0 cards . the probability of getting a queen of club or a king of heart is,"/(-(number0, *(4, 4)), number0)"
the probability that a number selected at random from the first number0 natural numbers is a composite number is ?,"/(*(-(*(6, 3), 1), 2), number0)"
in a lottery there are number0 prizes and number1 blanks . a lottery is drawn at random . what is the probability of getting a prize ?,"/(number1, +(number0, number1))"
"find the probability that a number selected from numbers number0 , number1 , number2 , . . . , number3 is a prime number , when each of the given numbers is equally likely to be selected ?","/(*(number2, const_5), number3)"
two coins are tossed . find the probability of at most number0 tails ?,"/(number0, ^(2, number0))"
"when two dice are rolled , what is the probability that the sum is either number0 or number1 ?","/(+(number0, 1), *(6, 6))"
"if g is to be chosen at random from the set { number2,number4 , number3,number0 } and k is to be chosen at random from the set { number5 , number4,number1 } , what is the probability that gk will be even ?","/(*(4, 3), *(4, 3))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(1, number2))), -(number0, /(1, number2))), -(number0, /(1, number2)))"
find the probability that a leap year selected at random will have number0 mondays,"/(2, +(3, 4))"
"a box contains number2 balls , numbered from number0 to number2 . if number1 balls are selected at random and with replacement from the box . if the number1 numbers on the balls selected contain two odd and one even . what is the probability l that the first ball picked up is odd numbered ?","/(2, number1)"
"there is a number0 % chance jen will visit chile this year , while there is a number0 % chance that she will visit madagascar this year . what is the probability that jen will visit either chile or madagascar this year , but not both ?","*(+(*(/(-(^(*(2, const_5), 2), number0), ^(*(2, const_5), 2)), /(number0, ^(*(2, const_5), 2))), *(/(number0, ^(*(2, const_5), 2)), /(number0, ^(*(2, const_5), 2)))), ^(*(2, const_5), 2))"
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a number0 / number4 probability that task number0 will be completed on time , and a number2 / number3 probability that task number1 will be completed on time . on a certain day , what is the probability that task number0 will be completed on time , but task number1 will not ?","*(/(number0, number4), -(number0, /(number2, number0)))"
find the probability that a non leap year selected at random will have number0 sundays,"/(2, +(3, 4))"
a circular dartboard of radius number0 foot is at a distance of number1 feet from you . you throw a dart at it and it hits the dartboard at some point q in the circle . what is the probability that q is closer to the center of the circle than the periphery ?,"/(*(/(number0, 2), /(number0, 2)), *(1, 1))"
number0 coins are tossed . whats is the probability that one and only one turns up head ?,"/(number0, ^(2, number0))"
"in lottery , there are number0 prizes and number1 blanks . a lottery is drawn at random . what is the probability of getting a prize ?","/(number0, +(number0, number1))"
the probability that a number selected at random from the first number0 natural numbers is a composite number is - .,"/(*(-(*(6, 3), 1), 2), number0)"
"what is the probability that the sum of two dice will yield a number2 , and then when both are thrown again , their sum will again yield a number2 ? assume that each die has number1 sides with faces numbered number0 to number1 .","*(/(number1, ^(number1, 2)), /(number1, ^(number1, 2)))"
"a box contains number2 balls , numbered from number0 to number2 . if number1 balls are selected at random and with replacement from the box . if the number1 numbers on the balls selected contain two odd and one even . what is the probability z that the first ball picked up is odd numbered ?","/(2, number1)"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(4, 4), -(*(number1, 2), 1))), /(-(*(4, 4), 2), *(4, 4))), /(-(-(*(4, 4), 2), 2), -(*(4, 4), 1)))"
the probability that a number selected at random from the first number0 natural numbers is a composite number is ?,"/(*(-(*(6, 3), 1), 2), number0)"
"tomeka is playing a dice game . if she rolls the same number on her second roll as she rolls on her first , she wins . each roll is with two , fair , number0 - sided dice . if tomeka rolled a number1 on her first roll , what is the probability that she will win on her second roll ?","/(number0, *(number0, number0))"
"into a bag there are number1 honey and number0 cherry candies . if a boy pick only two candies simultaneous and randomly , what is the probability that he picks one candy of each flavor ?","*(*(/(number1, +(number1, number0)), /(number0, +(number1, number0))), 2)"
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is number2 / number3 and picking a straight flower is number0 / number1 , then what is the probability of picking a flower which is yellow and curved","*(-(1, /(number2, number3)), /(number0, number1))"
"a player holds number3 cards of number0 suits , of which number2 are black and number1 are red . there are twice as many diamonds as spades and twice as many hearts as diamonds . how many clubs does he hold","-(number2, /(-(number3, number2), +(number0, 2)))"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(number0, number0), -(*(number1, 2), 1))), /(-(*(number0, number0), 2), *(number0, number0))), /(-(-(*(number0, number0), 2), 2), -(*(number0, number0), 1)))"
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed number0 times , what is the probability that it will land on the same side each time ?","/(1, ^(2, number0))"
"a bag consists of number2 marbles , of which number0 are blue , number1 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?","/(+(-(number2, +(number0, number1)), number1), number2)"
"what is the probability that a number selected from number number0 to number1 is prime number , when each of the given numbers is equally likely to be selected ?","/(*(const_5, 2), number1)"
find the probability that a leap year selected at random will not have number0 sundays,"/(2, +(3, 4))"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what is the probability that the extracted ball would turn on to be white , if all possible hypothesis concerning the color of theballs that initiallyin the bag were equally possible ?","/(+(number0, +(/(number0, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
three number0 faced dice are thrown together . the probability that all the three show the same number on them is -,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
three number0 faced dice are thrown together . the probability that all the three show the same number on them is - .,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
there are number1 students in a class . in how many different ways can a committee of number0 students be formed ?,"*(-(1, /(number0, number1)), number1)"
"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a club and the second card is a king or queen ?","*(/(+(*(3, 4), 1), const_52), /(2, const_52))"
a card is drawn from a pack of number0 cards . the probability of not getting a face card ?,"/(-(number0, *(4, 4)), number0)"
"potato chips are on sale , buy number1 get number0 free . there are only number5 bags of chips left ( number3 plain and number4 bbq ) . a shopper randomly grabs number2 bags . what is the probability the shopper will grab exactly number2 bags of bbq chips ?","*(/(-(-(number4, 1), 1), -(-(number5, 1), 1)), *(/(number4, number5), /(-(number4, 1), -(number5, 1))))"
there are two bags a and b . a contains number2 red flowers and number1 pink flowers . where as bag b contains number0 red flowers and number3 pink flowers . one flower is chosen from a bag randomly . what is the probability that the flower chosen is pink ?,"*(+(/(3, +(number2, number1)), /(number3, +(number3, number0))), /(1, 2))"
"a certain junior class has number1,000 students and a certain senior class has number4 students . among these students , there are number3 siblings pairs , each consisting of number1 junior and number1 senior . if number1 student is to be selected at random from each class , what is the probability that the number2 students selected at will be a sibling pair ?","/(number1, 3)"
a card is drawn from a pack of number0 cards . the probability of getting a queen club or a king of heart ?,"/(-(number0, *(4, 4)), number0)"
find the probability that a leap year chosen at random will have number0 sundays,"/(2, +(3, 4))"
"there is a number0 % chance sandy will visit china this year , while there is a number1 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","/(+(number0, number1), *(*(const_5, const_5), 4))"
"if a card is drawn from a well shuffled deck of cards , what is the probability of drawing a black card or a face card ?","+(/(3, const_52), /(/(const_52, 4), const_52))"
"if you keep rolling a pair of dice together till a sum of number0 or number1 is obtained , then what is the probability that a sum of number0 comes before a sum of number1 ?","/(4, +(4, 6))"
a card is drawn from a pack of number0 cards . the probability of ge ƫ ng a queen of club or a king of heart is,"/(-(number0, *(4, 4)), number0)"
"what is the probability that carol and bernie will get selected for a job they both applied for in a company , given that their chances of getting selected is number1 / number2 and number0 / number2 respectively ?","*(/(number1, number2), /(number0, number2))"
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is ?","+(/(3, const_52), /(/(const_52, 4), const_52))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
seven number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability z that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
"from a pack of number1 cards , number0 card is drawn at random . find the probability of a face card drawn .","/(*(4, 3), number1)"
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed number1 times , what is the probability that it will land on either side all number1 times ?","/(1, ^(2, 4.number0))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
what is the probability that a two digit number selected at random will be a multiple of ' number0 ' and not a multiple of ' number1 ' ?,"/(-(*(*(number1, 2), number0), *(number0, 2)), *(*(number1, 2), *(number0, number0)))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular number0 - sided polygon ) ?,"/(number0, /(*(number0, -(number0, 3)), 2))"
in a throw of a coin probability of getting a head .,"/(1, 2)"
"how many positive integers less than number4 can be formed using the numbers number0 , number1,number2 , and number3 for digits , each digit being used only once .","-(-(-(number4, number0), 4), 1)"
find the probability that a leap year selected at random will have number0 sundays,"/(2, +(3, 4))"
what is the probability that company g ' s advertisement will be one of the first two be shown during the first commercial break ?,"/(2, *(3, const_5))"
"the maitre ' d at an expensive manhattan restaurant has noticed that number1 % of the couples order dessert and coffee . however , number0 % of the couples who order dessert do n ' t order coffee . what is the probability y that the next couple the maitre ' d seats will not order dessert ?","*(-(1, /(/(number1, *(*(2, const_5), *(2, const_5))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))), *(*(2, const_5), *(2, const_5)))"
"what is the probability that the sum of two dice will yield a number2 , and then when both are thrown again , their sum will again yield a number2 ? assume that each die has number1 sides with faces numbered number0 to number1 .","*(/(number1, ^(number1, 2)), /(number1, ^(number1, 2)))"
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is number1 / number2 and picking a straight flower is number0 / number1 , then what is the probability of picking a flower which is yellow and straight","*(-(number0, /(number1, number2)), /(number0, number1))"
in a throw of a coin find the probability of getting a head ?,"/(1, 2)"
